audio,transcription,transcription_mfa
VS-35b_11,imaan athiik nipmahoonkooneesh.,imaan athiik nipmahoonkooneesh
VS-35b_12,imaan iim athiik ipmahoonkooneesh.,imaan iim athiik ipmahoonkooneesh
VS-35b_13,"ipit ip virusur nimahat kunish, ta ni'ay.",ipit ip virusur nimahat kunish ta niqay
VS-35b_14,"ipit ip pavirusur nimahat, vura puxich ta ni'ay.",ipit ip pavirusur nimahat vura puxich ta niqay
VS-35b_15,ipit vura uum puxich athiik.,ipit vura uum puxich athiik
VS-35b_16,vura uum puxich ta nayikiha.,vura uum puxich ta nayikiha
VS-35b_17,naa nikviit-hitih.,naa nikviithitih
VS-35b_18,,
VS-35b_19,iim hum ikviit-hitih,iim hum ikviithitih
VS-35b_20,puuhara naa puneekvii-hitihara.,puuhara naa puneekviihitihara
VS-35b_21,paxiichas ta kunikyamiichvunaa,paxiichas ta kunikyamiichvunaa
VS-35b_22,naa karu nikyamiichvutih.,naa karu nikyamiichvutih
VS-35b_23,imaan nikyamiichveesh,imaan nikyamiichveesh
VS-35b_24,naa imaan nikyamiichveesh.,naa imaan nikyamiichveesh
VS-35b_25,ipit ip nikyamiichva.,ipit ip nikyamiichva
VS-35b_26,ipit nikyamiichva.,ipit nikyamiichva
VS-35b_27,ipit vura uum nikyamiichvutih.,ipit vura uum nikyamiichvutih
VS-35b_28,ipit hum ikyamiichvaheen,ipit hum ikyamiichvaheen
VS-35b_29,,
VS-35b_30,naa payeem ni'uufithvutih.,naa payeem niquufithvutih
VS-35b_31,iim i'uufithva hum?,iim iquufithva hum
VS-35b_32,imaan ni'uufithveesh.,imaan niquufithveesh
VS-35b_33,naa vura puxich ta napihniichha.,naa vura puxich ta napihniichha
VS-35b_34,ta napihniichha.,ta napihniichha
VS-35b_35,naa ta napihniichha.,naa ta napihniichha
VS-35b_36,xara ta nikrii,xara ta nikrii
VS-35b_37,tukeevniikichha.,tukeevniikichha
VS-35b_38,nikviit-hitiheesh.,nikviithitiheesh
VS-35b_39,"panipihniichhaak, vura itihaan nikviit-hitiheesh.",panipihniichhaak vura itihaan nikviithitiheesh
VS-35b_40,panipihniichhaak vura vaa ni'uufithveesh,panipihniichhaak vura vaa niquufithveesh
VS-35b_41,akaay too knaknak?,akaay too knaknak
VS-35b_42,naa niknaknakeesh.,naa niknaknakeesh
VS-35b_43,xayfaat iknaknak!,xayfaat iknaknak
VS-35b_44,ipit ip niknaknak.,ipit ip niknaknak
VS-35b_45,pachishii uhyiivtih.,pachishii uhyiivtih
VS-35b_46,pachishii ta nixaapka.,pachishii ta nixaapka
VS-35b_47,pachishii nixaapka.,pachishii nixaapka
VS-35b_48,pachishii nixaapkeesh.,pachishii nixaapkeesh
VS-35b_49,xayfaat naxaapka!,xayfaat naxaapka
VS-35b_50,ni'iikat,niqiikat
VS-35b_51,ni'iikeesh.,niqiikeesh
VS-35b_52,xayfaat na'iik!,xayfaat naqiik
VS-35b_53,pachishii ip nixaapka.,pachishii ip nixaapka
VS-36_01,koovura iin kinimuustiheesh.,koovura iin kinimuustiheesh
VS-36_02,,
VS-36_03,koovura kiimuustiheesh.,koovura kiimuustiheesh
VS-36_04,iimkun koovura kiimuustiheesh.,iimkun koovura kiimuustiheesh
VS-36_05,chimi nuchuuphi!,chimi nuchuuphi
VS-36_06,uumkun kunchuuphitih.,uumkun kunchuuphitih
VS-36_07,xayfaat ichuupha!,xayfaat ichuupha
VS-36_08,naa nichuupheesh.,naa nichuupheesh
VS-36_09,iim ichuupheesh.,iim ichuupheesh
VS-36_10,nachuphuunish naa!,nachuphuunish naa
VS-36_11,paykuuk uum chuphuunish!,paykuuk uum chuphuunish
VS-36_12,xayfaat vaa ichuphuunish!,xayfaat vaa ichuphuunish
VS-36_13,uum naa nachuphunishkoovish.,uum naa nachuphunishkoovish
VS-36_14,,
VS-36_15,iim nuchuphunishkoovish.,iim nuchuphunishkoovish
VS-36_16,xayfaat kinchuphunishkoo!,xayfaat kinchuphunishkoo
VS-36_17,chimi nuvyiishipreevish.,chimi nuvyiishipreevish
VS-36_18,ipvoonvanaachheesh.,ipvoonvanaachheesh
VS-36_19,naa ta nipasasip pananivoonvanaach.,naa ta nipasasip pananivoonvanaach
VS-37_01,akaay ukyaanik vaa pa'apxaan?,akaay ukyaanik vaa paqapxaan
VS-37_02,naa nikyaat pa'apxaan.,naa nikyaat paqapxaan
VS-37_03,xas nipikyaar.,xas nipikyaar
VS-37_04,naa vura nixuti yav paniviiktih.,naa vura nixuti yav paniviiktih
VS-37_05,"payav nipmahoonkoonatih, vaa vura vikayav.",payav nipmahoonkoonatih vaa vura vikayav
VS-37_06,yav nipmahoonkoonatih xas vura vaa vikayav karu.,yav nipmahoonkoonatih xas vura vaa vikayav karu
VS-37_07,xas kukuum ta nipikyav.,xas kukuum ta nipikyav
VS-37_08,xas kukuum yav ta nipikyav.,xas kukuum yav ta nipikyav
VS-37_09,xas vura ta nipikyaar.,xas vura ta nipikyaar
VS-37_10,yav ta nipikyaar.,yav ta nipikyaar
VS-37_11,nipikyaar.,nipikyaar
VS-37_12,yitha nipikyaavish.,yitha nipikyaavish
VS-37_13,nipikyaavish pa'apxaan.,nipikyaavish paqapxaan
VS-37_14,nipikyaavish.,nipikyaavish
VS-37_15,neepsharavrikeesh.,neepsharavrikeesh
VS-37_16,pananikiit iin neepsharavrikeesh.,pananikiit iin neepsharavrikeesh
VS-37_17,naa iim iin neepsharavriik.,naa iim iin neepsharavriik
VS-37_18,uum vura itihaan neepsharavriiktih.,uum vura itihaan neepsharavriiktih
VS-37_19,uum vura itihaan iin neepsharavriiktih,uum vura itihaan iin neepsharavriiktih
VS-37_20,itihaan iin neepsharavrik.,itihaan iin neepsharavrik
VS-38_01,taak payufish.,taak payufish
VS-38_02,hooy pamisikih?,hooy pamisikih
VS-38_03,ta avahiv!,ta avahiv
VS-38_04,faat uum pay?,faat uum pay
VS-38_05,hooy pasara?,hooy pasara
VS-38_06,mah pay'ook pasara.,mah payqook pasara
VS-38_07,faat i'aveesh?,faat iqaveesh
VS-38_08,faat ixuti i'aveesh?,faat ixuti iqaveesh
VS-38_09,naa sara ni'aveesh.,naa sara niqaveesh
VS-38_10,"faat ivishtaantih, musmus'iish karu nakish'iish?",faat ivishtaantih musmusqiish karu nakishqiish
VS-38_11,naa musmus'iish nivishtaantih.,naa musmusqiish nivishtaantih
VS-38_12,ishaha hum i'isheesh?,ishaha hum iqisheesh
VS-38_13,sara hum i'aveesh?,sara hum iqaveesh
VS-38_14,uchish hum i'isheesh?,uchish hum iqisheesh
VS-38_15,uchish hum ivishtaantih?,uchish hum ivishtaantih
VS-38_16,apus hum i'aveesh?,apus hum iqaveesh
VS-38_17,mah pay pasara.,mah pay pasara
VS-38_18,chu pasara!,chu pasara
VS-38_19,axak pasara ni'eechipreevish.,axak pasara niqeechipreevish
VS-38_20,teexuriha hum?,teexuriha hum
VS-39_01,vura kunish ta naxuriha.,vura kunish ta naxuriha
VS-39_02,"oo, vura uum puxich ta naxuriha.",oo vura uum puxich ta naxuriha
VS-39_03,"haa, vura puxich ta naxuriha.",haa vura puxich ta naxuriha
VS-39_04,ishaha hum tee xrah?,ishaha hum tee xrah
VS-39_05,haa vura kunish ta neexrah.,haa vura kunish ta neexrah
VS-39_06,haa vura puxich ta neexrah.,haa vura puxich ta neexrah
VS-39_07,haa vura uum puxich ta neexrah.,haa vura uum puxich ta neexrah
VS-39_08,pacake hum ikyaavish?,pacake hum ikyaavish
VS-39_09,huut pacake ikyaavish?,huut pacake ikyaavish
VS-39_10,chimi pacake nukyaari!,chimi pacake nukyaari
VS-39_11,chimi pacake nukyav!,chimi pacake nukyav
VS-39_12,pajuice hum i'isheesh?,pajuice hum iqisheesh
VS-41_01,pay uum pananitaat.,pay uum pananitaat
VS-41_02,akaay uum pami'avan?,akaay uum pamiqavan
VS-41_03,kahtishraam uum i'aramsiiprimtih?,kahtishraam uum iqaramsiiprimtih
VS-41_04,"pay uum panani'avan, Peter.",pay uum pananiqavan Peter
VS-41_05,huut kich pamitunviiv?,huut kich pamitunviiv
VS-41_06,huut kich pami'aramah?,huut kich pamiqaramah
VS-41_07,pa'axiichas vura yav.,paqaxiichas vura yav
VS-41_08,koovura pa'axiitichas vura yav.,koovura paqaxiitichas vura yav
VS-41_09,puxich kaarim kun'ipmahoonkoonatih.,puxich kaarim kunqipmahoonkoonatih
VS-41_10,yav kun'ipmahoonkoonatih.,yav kunqipmahoonkoonatih
VS-41_11,pananitipah vura uum kaarim upmahoonkoonatih.,pananitipah vura uum kaarim upmahoonkoonatih
VS-47_01,panani'akah vurava pimnaanih.,pananiqakah vurava pimnaanih
VS-47_02,xas vurava taay too kyav pa'ahup.,xas vurava taay too kyav paqahup
VS-47_03,"xas vura tuvaxrah, papimnaanih.",xas vura tuvaxrah papimnaanih
VS-47_04,xas vurava itheeshyav koovura ahup too kyav.,xas vurava itheeshyav koovura ahup too kyav
VS-47_05,xas vura uum itihaan taay nanu'ahup.,xas vura uum itihaan taay nanuqahup
LA78.1-017_1-01,karuk iinaak kaan ta kun'aamvunaa.,karuk iinaak kaan ta kunqaamvunaa
LA78.1-017_1-02,"kunxus, "" uknamxanahich chimi nu'ihukanveesh.""",kunxus uknamxanahich chimi nuqihukanveesh
LA78.1-017_1-03,kari xas kari puyava iinaak ta kunpavyiihfuruk.,kari xas kari puyava iinaak ta kunpavyiihfuruk
LA78.1-017_1-04,aas ta kun'iishvunaa.,aas ta kunqiishvunaa
LA78.1-017_1-05,kari xas ta kun'impaha.,kari xas ta kunqimpaha
LA78.1-017_1-06,ikmahachraam ta kunpavyihish.,ikmahachraam ta kunpavyihish
LA78.1-017_1-07,kukuum vura imaan too kxaramha.,kukuum vura imaan too kxaramha
LA78.1-017_1-08,kukuum vura vaa kari ta kunpavyihivrath.,kukuum vura vaa kari ta kunpavyihivrath
LA78.1-017_1-09,axmay vura yitha ukyivivrath.,axmay vura yitha ukyivivrath
LA78.1-017_1-10,"xas upiip, "" yee naa, pihneefich tuvooruvrathaheen.",xas upiip yee naa pihneefich tuvooruvrathaheen
LA78.1-017_1-11,"pananupiykirikir tu'av.""",pananupiykirikir tuqav
LA78.1-017_1-12,chavura kunpamfipivrath.,chavura kunpamfipivrath
LA78.1-017_1-13,"xas kunipeer "" chimi arihishrih.""",xas kunipeer chimi arihishrih
LA78.1-017_1-14,kari xas kari ta'itam upakuriihvaheen.,kari xas kari taqitam upakuriihvaheen
LA78.1-017_1-15,"kari xas "" chemi, chuvaarap.""",kari xas chemi chuvaarap
LA78.1-017_1-16,"kari xas axmay vura upiip, "" ishavaas, nipthivkeevish, ishavaas, nipthivkeevish.""",kari xas axmay vura upiip ishavaas nipthivkeevish ishavaas nipthivkeevish
LA78.1-017_1-17,"xas kunipiip "" chemi.",xas kunipiip chemi
LA78.1-017_1-18,kuna vura xayfaat ik iyuupha.,kuna vura xayfaat ik iyuupha
LA78.1-017_1-19,vaa ik vura panuviitihaak.,vaa ik vura panuviitihaak
LA78.1-017_1-20,"vaa ik vura i'asimchaaktiheesh.""",vaa ik vura iqasimchaaktiheesh
LA78.1-017_1-21,ta'itam kunpavyiihshipreeheen.,taqitam kunpavyiihshipreeheen
LA78.1-017_1-22,chavura yiiv ta kunpavyiihma.,chavura yiiv ta kunpavyiihma
LA78.1-017_1-23,"kari xas kari uxus, "" tii kanyuuphi, apapiichyuupich.""",kari xas kari uxus tii kanyuuphi apapiichyuupich
LA78.1-017_1-24,"kari xas, xas uyuupha.",kari xas xas uyuupha
LA78.1-017_1-24a,xas kunivyiiship.,xas kunivyiiship
LA78.1-017_1-25,"xas yanava "" ikmahachraam"" xas "" panithaaniv.",xas yanava ikmahachraam xas panithaaniv
LA78.1-017_1-26,"ii! if kaarim nikupheen, paniyuupheen.""",ii if kaarim nikupheen paniyuupheen
LA78.1-017_1-27,"kari xas puyava uumpan mah'iitnihach ta kunpavyiihship, kukuum, paastaah.",kari xas puyava uumpan mahqiitnihach ta kunpavyiihship kukuum paastaah
LA78.1-017_1-28,karu ta kunpavyiihma.,karu ta kunpavyiihma
LA78.1-017_1-29,karu ithivthaneen'ipan ta kunpavyiihma.,karu ithivthaneenqipan ta kunpavyiihma
LA78.1-017_1-30,"puyava kukuum vura kumateech pookxaramheesh, kukuum vura vaa kari kunpavyiihshipreevish.",puyava kukuum vura kumateech pookxaramheesh kukuum vura vaa kari kunpavyiihshipreevish
LA78.1-017_1-31,ta iinaak aas ta kunpishar.,ta iinaak aas ta kunpishar
LA78.1-017_1-32,kumateech kunivyiihshipreevish.,kumateech kunivyiihshipreevish
LA78.1-017_1-33,kun'ihukanveesh uknamxanahich.,kunqihukanveesh uknamxanahich
LA78.1-017_1-34,"kari xas kukuum vura pihneefich upiip, "" nipthivkeevish, ishavaas.""",kari xas kukuum vura pihneefich upiip nipthivkeevish ishavaas
LA78.1-017_1-35,"xas kunipeer "" chemi.""",xas kunipeer chemi
LA78.1-017_1-36,kari xas kumateech kunpavyihivrath.,kari xas kumateech kunpavyihivrath
LA78.1-017_1-37,"ta'itam "" yee chimi arihish.""",taqitam yee chimi arihish
LA78.1-017_1-38,ta'itam kun'arihishriihvaheen pa'ihukar.,taqitam kunqarihishriihvaheen paqihukar
LA78.1-017_1-39,ta'itam kunivyiihshipreeheen.,taqitam kunivyiihshipreeheen
LA78.1-017_1-40,pihneefich ta'itam upthivkeeheen,pihneefich taqitam upthivkeeheen
LA78.1-017_1-41,"kari xas kunipeer "" xayfaat ik iyuupha.",kari xas kunipeer xayfaat ik iyuupha
LA78.1-017_1-42,"vura nik panuvyiihmahaak, xasik vura iyuupheesh.""",vura nik panuvyiihmahaak xasik vura iyuupheesh
LA78.1-017_1-43," chemi, nik ishavaas, punayuupheeshara.",chemi nik ishavaas punayuupheeshara
LA78.1-017_1-44,ta'itam kunpavyiihshipreeheen.,taqitam kunpavyiihshipreeheen
LA78.1-017_1-45,chavura axmay vura kunvitish.,chavura axmay vura kunvitish
LA78.1-017_1-46,"xas kunipeer "" ta nuvyihuk.""",xas kunipeer ta nuvyihuk
LA78.1-017_1-47," ee! ninithivthaaneen, ninithivthaaneen.",ee ninithivthaaneen ninithivthaaneen
LA78.1-017_1-48,ta'itam uuth upiytuykaanvaheen.,taqitam uuth upiytuykaanvaheen
LA78.1-017_1-49,panamnih'uuth uuth upiytuykaanva.,panamnihquuth uuth upiytuykaanva
LA78.1-017_1-50,katiphira'uuth uuth upiytuykaanva.,katiphiraquuth uuth upiytuykaanva
LA78.1-017_1-51," ninithivthaaneen, ninithivthaaneen.",ninithivthaaneen ninithivthaaneen
LA78.1-017_1-52,tishanih'uuth uuth upiytuykaanva.,tishanihquuth uuth upiytuykaanva
LA78.1-017_1-52a,,
LA78.1-017_1-53,tuyvuk'uuth uuth upiytuykaanva.,tuyvukquuth uuth upiytuykaanva
LA78.1-017_1-54," ninithivthaaneen, ninithivthaaneen, ta ni'ipak, ninithivthaaneen.",ninithivthaaneen ninithivthaaneen ta niqipak ninithivthaaneen
LA78.1-017_1-54a,,
LA78.1-017_1-55,kupanakanakana. cheech ik vura ishyaat imshirihraavish.,kupanakanakana cheech ik vura ishyaat imshirihraavish
LA78.1-017_1-56,nayaavheesh ik.,nayaavheesh ik
LA78.1-017_1-57,vura uum ta neemchitatkoo.,vura uum ta neemchitatkoo
LA78.1-017_1-58,karu cheech ik ataychukinach i'uunupraveesh.,karu cheech ik ataychukinach iquunupraveesh
LA78.1-017_1-59,nayaavheesh ik.,nayaavheesh ik
LA78.1-008_1-1,"vaa kunkuphaanik, ithaan.",vaa kunkuphaanik ithaan
LA78.1-008_1-10,"xanahichvari axmay u'ahoo, pihneefich.",xanahichvari axmay uqahoo pihneefich
LA78.1-008_1-11,ta'itam kuntariheen.,taqitam kuntariheen
LA78.1-008_1-12,"xas upiip, "" naa vura ninipakuri nipakuriihveesh, pani'eethkaanvahaak.""",xas upiip naa vura ninipakuri nipakuriihveesh paniqeethkaanvahaak
LA78.1-008_1-13,ta'itam u'eethkaanvaheen.,taqitam uqeethkaanvaheen
LA78.1-008_1-14,ta'itam upakuriihvaheen.,taqitam upakuriihvaheen
LA78.1-008_1-15, ayiyihanijanee hanijaaneeya.,ayiyihanijanee hanijaaneeya
LA78.1-008_1-16,"chavura koovura ixraam upikyafipayaachha, pa'ipa koo kinpaxeepat.",chavura koovura ixraam upikyafipayaachha paqipa koo kinpaxeepat
LA78.1-008_1-17,peekxareeyav vura ixraam upikyafipayaachha.,peekxareeyav vura ixraam upikyafipayaachha
LA78.1-008_1-18,kari xas upvoonsip.,kari xas upvoonsip
LA78.1-008_1-19,xas ta'itam u'ipahooheen.,xas taqitam uqipahooheen
LA78.1-008_1-2,peekxareeyav yichakanach koovura kunpamfipishnihayaacha.,peekxareeyav yichakanach koovura kunpamfipishnihayaacha
LA78.1-008_1-20,puya vaa vura kich.,puya vaa vura kich
LA78.1-008_1-3,kunpavyihishrihanik.,kunpavyihishrihanik
LA78.1-008_1-4,"kari xas kunxutih, "" chimi nuthtiitvunaa.""",kari xas kunxutih chimi nuthtiitvunaa
LA78.1-008_1-5,ta'itam kunithtiitvunaa.,taqitam kunithtiitvunaa
LA78.1-008_1-6,paanpay vaa ta kunkuupha.,paanpay vaa ta kunkuupha
LA78.1-008_1-7,apapkam ta kinchifich.,apapkam ta kinchifich
LA78.1-008_1-8,"vura koovura ta kunpaxeepayaachha, pamukun'uup.",vura koovura ta kunpaxeepayaachha pamukunquup
LA78.1-008_1-9,vura ta kinchifich.,vura ta kinchifich
LA78.1-002_001,... kun'asúuvish vaa páy kumá'ana kuma'ii. (LB: ohh.),kunqasu1uvish vaa pa1y kuma1qana kumaqii
LA78.1-002_002,fáat yáxa faat tamtipshíina(vish?) fáat yáxa vaa póo- pápirish kun uum va aas vura faat karu ayaptanapapushiinvee,fa1at ya1xa faat tamtipshi1ina fa1at ya1xa vaa po1o pa1pirish kun uum va aas vura faat karu ayaptanapapushiinvee
LA78.1-002_003,uum vâaram vaa káan [koo?noise] viri vaa'ii (LB: ohh.),uum va2aram vaa ka1an viri vaaqii
LA78.1-002_004,kunipéer anavikyâatich tikunpikni[noise...?] (LB: ohh.),kunipe1er anavikya2atich tikunpikni
LA78.1-002_005,viri vaa peen xútik ta kunâach'aa vêenka kunapasúpiich,viri vaa peen xu1tik ta kuna2achqaa ve2enka kunapasu1piich
LA78.1-002_011,[kunyûunyuvav?] kunâach'aa manâa vaa yáxa. viri xákaan ukrii pa- paxánkiit?,kuna2achqaa mana2a vaa ya1xa viri xa1kaan ukrii pa paxa1nkiit
LA78.1-002_012,"haa, manava xan- xakaan kun'iinanik vaa kuma'ii poo'asuviishti pa pu'ahup ikyaatihara.",haa manava xan xakaan kunqiinanik vaa kumaqii pooqasuviishti pa puqahup ikyaatihara
LA78.1-002_013, aakich ivaakirihti.,aakich ivaakirihti
LA78.1-002_013a,"... chimi, (LB?:) aah, chimi áhup iky-",chimi aah chimi a1hup iky
LA78.1-002_014,ahup ikyaan.,ahup ikyaan
LA78.1-002_015,"huut ti'iin, aakich ivaakirihti.",huut tiqiin aakich ivaakirihti
LA78.1-002_016,"kuna uum kipa faat, toomchax, ayu'aach uum aas u'aramsiiprivti, karu pasah'ahup uum ishahar.",kuna uum kipa faat toomchax ayuqaach uum aas uqaramsiiprivti karu pasahqahup uum ishahar
LA78.1-002_017,uchiishhiti.,uchiishhiti
LA78.1-002_018,vura? uum pu'athik iimtihara.,vura uum puqathik iimtihara
LA78.1-002_019,kunâach'aa vúra kích pa'áthik uum- [other speaker (NR?) overlapping:] uum vura kich uum pa'áthik uum teeheech uum vura vaxáraha kuma'púumpay.,kuna2achqaa vu1ra ki1ch paqa1thik uum uum vura kich uum paqa1thik uum teeheech uum vura vaxa1raha kumaqpu1umpay
LA78.1-002_021,(LB:ohh.) kuna pay uum xankiit aasa'eech yaxa ukrii.,kuna pay uum xankiit aasaqeech yaxa ukrii
LA78.1-002_022,"puyava pa'ahup uum axkeemich, pufaat xutihara...",puyava paqahup uum axkeemich pufaat xutihara
LA78.1-002_023,man koovura uum paachviiv koovura aah kuntaarahiti.,man koovura uum paachviiv koovura aah kuntaarahiti
LA78.1-002_024,... vurathuukkichpa'aahputhiinati.,vurathuukkichpaqaahputhiinati
LA78.1-002_025,xas uvoonupuk.,xas uvoonupuk
LA78.1-002_026,"kari xaspuya vura xanáh xara vura tookrii xas uxuti,",kari xaspuya vura xana1h xara vura tookrii xas uxuti
LA78.1-002_027,puya huuka yaxa tu'uum.,puya huuka yaxa tuquum
LA78.1-002_028,"xas iikam purafatak, kaan a' uturaati pa'iihyan.",xas iikam purafatak kaan aq uturaati paqiihyan
LA78.1-002_029,yanava a' tuvooruraa.,yanava aq tuvooruraa
LA78.1-002_030,"kari xas upiip, puya, ipvuunihi, xay ikyivuni.",kari xas upiip puya ipvuunihi xay ikyivuni
LA78.1-002_031,huut kuma'ii pa'a' tivooruraa.,huut kumaqii paqaq tivooruraa
LA78.1-002_032,"kari xas upiip, kunaach'aa, yanip neepeentihat ahup ikyaan.",kari xas upiip kunaachqaa yanip neepeentihat ahup ikyaan
LA78.1-002_033,matee kuma'avanihich uvooruraa. 'kari xákan a' purih,matee kumaqavanihich uvooruraa qkari xa1kan aq purih
LA78.1-002_034,xas a' vura tuvooruraa kunish aachipvari ipaniichvari.,xas aq vura tuvooruraa kunish aachipvari ipaniichvari
LA78.1-002_035,"puya ipvuunihi, xay ikyivuni.",puya ipvuunihi xay ikyivuni
LA78.1-002_036,kunaach'aa yanip neepeentihat ahup ikyaan.,kunaachqaa yanip neepeentihat ahup ikyaan
LA78.1-002_037,"puya vura iinaak upvoonfuruk, vura vaa a' tuvooruraa chareeaxay...[?]",puya vura iinaak upvoonfuruk vura vaa aq tuvooruraa chareeaxay
LA78.1-002_038,xanahich axmay upatapata.,xanahich axmay upatapata
LA78.1-002_039,"u'ahirim, ii kari xas u'arihrupuk, uxus uum too- tupikniivratih.",uqahirim ii kari xas uqarihrupuk uxus uum too tupikniivratih
LA78.1-002_040,tooyveeshriheen pa'ahup.,tooyveeshriheen paqahup
LA78.1-002_041,"uum tookxipshur, uum vura kich vaa ahup tookyav.",uum tookxipshur uum vura kich vaa ahup tookyav
LA78.1-002_042,viri uum vaa paxankiit uum vaa pupimkuutihara pama' va'ahup.,viri uum vaa paxankiit uum vaa pupimkuutihara pamaq vaqahup
LA78.1-002_043,a toomchax.,a toomchax
LA78.1-002_044,uum puvaa pimkuutihara xaat kuniyuunkiri ayu'aach uum aas ukrii.,uum puvaa pimkuutihara xaat kuniyuunkiri ayuqaach uum aas ukrii
LA78.1-002_045,"(LB: aah!) vura uum paykich vaa uum pishipumkuutiha pa- pa- (LB: pakunaach'aa, kúna uum sah'áhup) kuna uum sah'ahup kich upimkuuhti, pamah'ahup pupimkuuhtihara.",kuna uum sahqahup kich upimkuuhti pamahqahup pupimkuuhtihara
LA78.1-002_046,"(LB: aah.) uum sah'ahup kich upimkuuhti, ayu'aach uum vura vaa aasak va'ahup.",uum sahqahup kich upimkuuhti ayuqaach uum vura vaa aasak vaqahup
LA78.1-002_047,uthivruuhvarak sah'ahup.,uthivruuhvarak sahqahup
LA78.1-002_048,(LB: uum vaa kari xas upímkuuh a ta pum-) kari xas uum vaa upimkuuhtivaa kunaach'aa pa'ahup.,kari xas uum vaa upimkuuhtivaa kunaachqaa paqahup
LA78.1-002_049,kuna uum paxankiit vaa pupimkuuhtihara pamah'ahup.,kuna uum paxankiit vaa pupimkuuhtihara pamahqahup
LA78.1-002_050,vúra pasah'áhup xas upímkuutih pa'áhup- áhup'aasvuuti- pa'ásak pishpoonivoon?? kiri áahkuriheen?- áah-,vu1ra pasahqa1hup xas upi1mkuutih paqa1hup a1hupqaasvuuti paqa1sak pishpoonivoon kiri a1ahkuriheen a1ah
LA78.1-002_052,uchiishhiti ayu'aach uum aas ukrii paxankiit.,uchiishhiti ayuqaach uum aas ukrii paxankiit
LA78.1-002_053,(speaker 1:) puyava pay... (speaker 2:) ... vaa xakkan kunîinak man'áta vura mana ma yáxa ma- koovúra takanukreeni-?,vaa xakkan kuni2inak manqa1ta vura mana ma ya1xa ma koovu1ra takanukreeni
LA78.1-002_057,maakipiikunaachkiipiteesh astiip ukxipithunatipatoo- patuchixaanahaak.,maakipiikunaachkiipiteesh astiip ukxipithunatipatoo patuchixaanahaak
LA78.1-002_058,,
LA78.1-002_059,teek vura peekukak upanaknaakti(otherspeaker:yeah.1stspeakerrepeatsupnaknak).,teek vura peekukak upanaknaakti
LA78.1-002_060,,
LA78.1-002_061,viri vaa astiip usuviish- (other speaker interjects tu asuviish) ... chchchchch ... tóomchax [laughter],viri vaa astiip usuviish chchchchch to1omchax
LA78.1-002_062,"(speaker 1:) vura tóomchax (speaker 2:) ah, tóomchaxayaacha",ah to1omchaxayaacha
LA78.1-002_063,kuna pay pa kunaachaa uum uum áathik toopiimshur,kuna pay pa kunaachaa uum uum a1athik toopiimshur
LA78.1-002_064,xas viriva uum vaa xákaan huukeen? hum vaa va kari hum karu i vee kuuku uum,xas viriva uum vaa xa1kaan huukeen hum vaa va kari hum karu i vee kuuku uum
LA78.1-002_065,va man kúpanakana... (other speaker: ohh),va man ku1panakana
LA78.1-002_066,vaa ta kári kupánakanakana,vaa ta ka1ri kupa1nakanakana
LA78.1-002_067,vaa upikvah,vaa upikvah
LA78.1-004a_01,mahnuuvanach uum vura kaan tuyikiha.,mahnuuvanach uum vura kaan tuyikiha
LA78.1-004a_02,"ii, kari xas kunxus,  puya if puxich too kuha kiri xuus kun'uum.",ii kari xas kunxus puya if puxich too kuha kiri xuus kunquum
LA78.1-004a_03,"kari xas ta'itam, "" chimi kiikpikaan kachakaach.""",kari xas taqitam chimi kiikpikaan kachakaach
LA78.1-004a_04,ta'itam kunpikaaraheen.,taqitam kunpikaaraheen
LA78.1-004a_05,ta'itam u'uumaheen.,taqitam uquumaheen
LA78.1-004a_06,"yee kari xas vura puxay vuraxay xay vura huut-heesh, vura puxich tuyikiha.",yee kari xas vura puxay vuraxay xay vura huutheesh vura puxich tuyikiha
LA78.1-004a_07,ta'itam xas xuus u'uumaheen.,taqitam xas xuus uquumaheen
LA78.1-004a_08,"xas kari upiip, "" chimi akaay kich vura karu kiikpikaan.",xas kari upiip chimi akaay kich vura karu kiikpikaan
LA78.1-004a_09,"vura uum puxich too kuha.""",vura uum puxich too kuha
LA78.1-004a_10,"kari xas ta'itam kunpikaaraheen, xankiit.",kari xas taqitam kunpikaaraheen xankiit
LA78.1-004a_11,koovura ta kun'oonvishrihanik.,koovura ta kunqoonvishrihanik
LA78.1-004a_12,"viri vaa kich ta'itam xankiit, "" chemi.""",viri vaa kich taqitam xankiit chemi
LA78.1-004a_13,ta'itam xuus u'uumaheen.,taqitam xuus uquumaheen
LA78.1-004a_14,"ye-e-he-e-he-e, ye-e-he-e-he-e, ye-e-he-e-he-e, ye-e-he-e-he-e, ye-e-he-e-he-e",yeeheehee yeeheehee yeeheehee yeeheehee yeeheehee
LA78.1-004a_15,"kari xas upikriish, upiheer, sahishyuuxach.",kari xas upikriish upiheer sahishyuuxach
LA78.1-004a_16,"xas upiip, "" puxay vura, chimi xuus kiik'uumih.""",xas upiip puxay vura chimi xuus kiikquumih
LA78.1-004a_17,"kari xas ta'itam, uvoonsipreeheen, xankiit.",kari xas taqitam uvoonsipreeheen xankiit
LA78.1-004a_18,umpaan xuus u'uum.,umpaan xuus uquum
LA78.1-004a_19,"kari xas kari, ta'itam, u'arihishriheen:",kari xas kari taqitam uqarihishriheen:
LA78.1-004a_20,"ye-he-heha-na-he, ye-he-heha-na-he",yehehehanahe yehehehanahe
LA78.1-004a_21,achpuus kanapishaavsiprinih.,achpuus kanapishaavsiprinih
